Adrian,Peterson,31,73,220,Oklahoma,10 years,Offense,1485,222,11,0,4.5,7.4,7,327,30,FALSE
Le'Veon,Bell,24,73,244,Michigan State,4 years,Offense,556,136,3,0,4.9,5.7,0,113,24,FALSE
Doug,Martin,27,69,223,Boise State,5 years,Offense,1402,271,6,1,4.9,8.2,5,288,33,FALSE
Todd,Gurley,21,72,227,Georgia,2 years,Offense,1106,188,10,0,4.8,9,3,229,21,FALSE
Jonathan,Stewart,29,70,235,Oregon,9 years,Offense,989,99,6,1,4.1,6.2,3,242,16,FALSE
LeSean,McCoy,28,71,208,Pittsburgh,8 years,Offense,895,292,3,2,4.4,9.1,2,203,32,FALSE
Chris,Johnson,30,71,203,East Carolina,9 years,Offense,814,58,3,0,4.2,9.7,2,196,6,FALSE
Jamaal,Charles,29,71,199,Texas,9 years,Offense,364,177,4,1,5.1,8.4,3,71,21,FALSE
Chris,Ivory,28,72,222,Tiffin University,7 years,Offense,1070,217,7,1,4.3,7.2,4,247,30,FALSE
Devonta,Freeman,24,68,206,Florida State,3 years,Offense,1056,578,11,3,4,7.9,3,265,73,FALSE
Antonio,Brown,28,70,181,Central Michigan,7 years,Offense,28,1834,0,10,9.3,13.5,3,3,136,FALSE
Julio,Jones,27,75,220,Alabama,6 years,Offense,0,1871,0,8,0,13.8,3,0,136,FALSE
DeAndre,Hopkins,24,73,218,Clemson,4 years,Offense,0,1521,0,11,0,13.7,1,0,111,FALSE
Jarvis,Landry,23,71,202,LSU,3 years,Offense,113,1157,1,4,6.3,10.5,1,18,110,FALSE
Larry,Fitzgerald,32,75,218,Pittsburgh,13 years,Offense,0,1215,0,9,0,11.1,2,0,109,FALSE
Brandon,Marshall,32,76,230,Central Florida,11 years,Offense,0,1502,0,14,0,13.8,3,0,109,FALSE
Demaryius,Thomas,28,75,229,Georgia Tech,7 years,Offense,0,1394,0,6,0,12.4,2,0,105,FALSE
Odell,Beckham,23,71,198,LSU,3 years,Offense,3,1450,0,13,3,15.1,2,1,96,FALSE
Delanie,Walker,31,72,248,Central Missouri State,11 years,Offense,36,1088,0,6,36,11.6,0,1,94,FALSE
Golden,Tate,27,60,198,Notre Dame,7 years,Offense,41,813,0,6,6.8,9,1,6,90,FALSE
NaVorro,Bowman,28,72,242,Penn State,7 years,Defense,116,38,2.5,0,0,2,0,0,FALSE,
D'Qwell,Jackson,32,72,242,Maryland,11 years,Defense,89,61,3,1,6,10,6,0,FALSE,
Lavonte,David,26,73,233,Nebraska,5 years,Defense,85,62,3,3,19,13,6.3,0,FALSE,
Reshad,Jones,28,73,218,Georgia,7 years,Defense,106,29,2,5,104,10,20.8,0,FALSE,
Paul,Posluszny,31,74,240,Penn State,10 years,Defense,103,30,1,3,25,6,8.3,0,FALSE,
Sean,Lee,29,74,238,Penn State,7 years,Defense,76,52,2.5,1,0,5,0,0,FALSE,
Telvin,Smith,25,75,223,Florida State,3 years,Defense,99,29,2.5,1,26,7,26,0,FALSE,
Corey,Graham,30,72,196,New Hampshire,10 years,Defense,96,31,1,2,60,4,30,0,FALSE,
Malcolm,Smith,27,72,225,USC,6 years,Defense,99,23,4,1,27,6,27,0,FALSE,
Daryl,Smith,34,74,250,Georgia Tech,13 years,Defense,72,49,3,1,-1,3,-1,0,FALSE,
